City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
226,saint-pierre,-21.3393,55.4781,74.88,64,100,8.05,RE,1709170174
227,inirida,3.8653,-67.9239,83.68,56,83,3.67,CO,1709170174
228,kingston,17.997,-76.7936,81.55,79,20,6.91,JM,1709169606
229,lobujya,27.95,86.8167,5.04,16,0,4.81,NP,1709170175
230,turinsk,58.0458,63.696,21.7,88,100,8.32,RU,1709170175
231,sabi,13.2333,-14.2,81.18,15,95,6.8,GM,1709170175
232,barhi,23.9,80.8,61.59,41,0,0.92,IN,1709170176
233,deogarh,21.5333,84.7333,66.61,80,0,2.62,IN,1709170176
234,vorkuta,67.5,64.0,24.03,97,100,5.01,RU,1709170176
235,loikaw,19.6742,97.2094,68.16,38,5,1.34,MM,1709170176
236,ryazanskiy,55.7242,37.7758,30.63,90,100,8.43,RU,1709170177
237,timbuktu,16.7735,-3.0074,73.76,13,4,14.81,ML,1709170177
238,hechuan,29.9947,106.2572,48.69,72,34,3.4,CN,1709170177
239,newark,40.7357,-74.1724,61.34,81,100,21.85,US,1709169439
240,sinfra,6.6167,-5.9167,72.91,96,100,2.46,CI,1709170178
241,enewetak,11.3474,162.3373,80.62,71,70,17.67,MH,1709170180
242,angaur state,6.906,134.13,81.73,83,100,23.96,PW,1709170180
243,al qubbah,32.7616,22.2424,53.49,44,100,29.46,LY,1709170181
244,colonia,50.9333,6.95,42.89,77,0,4.61,DE,1709170181
245,bukama,-9.2,25.85,70.18,98,100,2.17,CD,1709170181
246,kourou,5.1552,-52.6478,75.25,76,100,8.99,GF,1709170181
247,vadso,70.0744,29.7487,33.96,80,100,20.71,NO,1709170181
248,tralee,52.2704,-9.7026,44.26,80,70,16.6,IE,1709170182
249,taoudenni,22.6783,-3.9836,64.0,17,100,14.14,ML,1709170182
250,leer,53.2316,7.461,43.93,86,100,3.0,DE,1709170182
251,nemuro,43.3236,145.575,19.33,60,17,20.31,JP,1709170184
252,manokwari,-0.8667,134.0833,81.7,76,88,3.44,ID,1709170184
253,wynyard,-41.0,145.7167,68.16,53,99,14.05,AU,1709170184
254,cromwell,41.5951,-72.6454,55.71,93,100,16.11,US,1709170184
255,dhari,21.3333,71.0167,71.6,36,4,5.28,IN,1709170185
256,ola,59.5833,151.2833,4.42,68,94,5.46,RU,1709170185
257,hilo,19.7297,-155.09,77.09,73,20,12.66,US,1709170185
258,nar'yan-mar,67.6713,53.087,23.11,94,100,11.99,RU,1709170185
259,lazaro cardenas,17.9583,-102.2,75.65,73,6,3.83,MX,1709170186
